surrogate_key product_id  product_name                                                                                         price                                   start_date end_date   is_current
------------- ----------- ---------------------------------------------------------------------------------------------------- --------------------------------------- ---------- ---------- ----------
1             1001        iPhone 14                                                                                            70000.00                                2025-08-23 2025-08-23 N
2             1002        Galaxy S23                                                                                           65000.00                                2025-08-23 2025-08-25 N
3             1003        Pixel 8                                                                                              60000.00                                2025-08-23 2025-08-24 N
4             1001        iPhone 14                                                                                            68000.00                                2025-08-24 2025-08-24 N
5             1004        OnePlus 12                                                                                           55000.00                                2025-08-24 2025-08-25 N
6             1001        iPhone 14                                                                                            66000.00                                2025-08-25 2025-08-26 N
7             1003        Pixel 8                                                                                              62000.00                                2025-08-25 9999-12-31 Y
8             1002        Galaxy S23                                                                                           63000.00                                2025-08-26 9999-12-31 Y
9             1004        OnePlus 12 Pro                                                                                       55000.00                                2025-08-26 2025-08-26 N
10            1005        Realme GT                                                                                            40000.00                                2025-08-26 9999-12-31 Y
11            1001        iPhone 14 Plus                                                                                       66000.00                                2025-08-27 9999-12-31 Y
12            1004        OnePlus 12 Pro                                                                                       57000.00                                2025-08-27 9999-12-31 Y

(12 rows affected)


Completion time: 2025-08-24T20:53:48.0341052+05:30
